"RELEASE_NUMBER","INTERVIEW_ID","AGE","OCC_2010","HOURLY.REGULAR.RATE","YRS.PRES.EMP","WAGES","WTR.GRADUATED","YR.WRKED.FULLTIME","WORK.WEEKS","TOTAL.HOURS","COMPLETED.ED","SEX_1","SEX_2","RACE_1","RACE_2","RACE_3","RACE_4","RACE_5","RACE_7","RACE_9","CURRENT.REGION_1","CURRENT.REGION_2","CURRENT.REGION_3","CURRENT.REGION_4","CURRENT.REGION_5","CURRENT.REGION_6","YEAR_2017","YEAR_2019","occupation_des","soc_code"
2,7511,55,0,0,0,0,2,30,0,0,17,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,5223,54,6240,36,1,18000,2,27,52,2600,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,9035,59,4130,17.5,5,49000,1,39,52,2600,14,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7548,43,9130,0,2,42000,2,20,51,3482,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,6436,27,2700,0,0,39000,3,0,52,2600,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,5969,37,7900,16.32,4,34000,1,3,51,2124,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,4188,95,0,0,0,0,1,1,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,5520,60,9130,23.04,1,45000,1,10,50,2500,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3992,63,220,0,0,0,1,13,52,2080,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,4364,64,8740,0,0,40000,1,2,30,1208,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3818,69,0,0,0,0,1,10,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,9570,43,6230,35,0,42000,1,25,52,2080,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,8610,42,0,0,0,0,1,4,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,7631,38,3820,998,9,90000,1,12,50,3200,14,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8110,84,0,0,0,0,1,28,0,0,14,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3774,65,6130,0,0,0,1,15,18,1080,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,470,59,2540,19,23,28000,1,28,39,1560,13,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,868,52,6360,43,15,56000,1,3,48,2720,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,40,51,4810,27,31,55000,1,9,47,1864,14,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,392,43,3255,0,7,80000,1,18,50,2000,14,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,283,25,5100,13.25,1,33000,1,0,51,2240,14,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,1963,67,350,0,1,70000,1,9,47,3055,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,1885,47,4850,0,22,103000,1,1,48,2178,16,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,1100,46,4600,0,0,900,1,0,10,70,13,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3586,70,0,0,0,0,1,28,0,0,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,1914,71,205,0,0,0,1,30,35,1925,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,2741,49,8330,0,0,0,1,14,52,2080,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3059,47,3710,998,23,73000,1,0,39,1652,15,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,2687,45,710,0,16,0,1,0,52,5200,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3578,48,4840,15,0,40000,1,27,52,2080,16,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,NA,NA
2,3880,83,0,0,0,0,1,50,0,0,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,6831,57,7210,31,36,60000,1,5,33,1328,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4503,54,700,0,25,93000,1,6,47,1880,17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3886,35,0,0,0,0,2,4,0,0,8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8258,34,7900,29.35,2,61000,1,2,50,2000,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8096,31,7700,18.48,5,45000,3,7,51,2140,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8600,31,2330,0,6,60000,1,1,48,1687,17,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8259,47,7900,18.75,3,32000,1,29,48,2400,14,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8073,40,9130,0,0,38000,1,6,49,1960,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8293,54,7900,25.5,6,46000,1,32,49,1960,13,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,9260,40,4010,15,27,22000,2,20,52,1300,12,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8517,38,0,0,0,0,3,20,0,0,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4197,36,700,0,15,116000,1,4,48,2380,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3834,32,3600,10,5,11000,1,7,49,1470,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,3858,62,0,0,0,0,3,17,0,0,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,7180,37,910,0,18,38500,1,13,52,2130,12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,4383,37,120,33.2,16,63000,1,3,48,1952,16,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
2,8301,50,840,25.83,22,52000,1,23,50,2008,16,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
2,8454,38,7920,18.6,3,55800,2,14,50,3024,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA
