ER72001,ER72002,ER72017,ER72018,ER72195,ER72217,ER72231,ER73069,ER76897,ER76962,ER77249,ER77255,ER77588,ER77591,ER77599
1,1659,51,1,0,0,0,0,1,25,0,0,52276,3,12
1,1989,46,1,6355,0,5,100000,1,28,52,2080,27430,3,12
1,96,63,2,0,0,0,0,1,1,0,0,10090,3,11
1,889,40,2,7750,12.55,2,30200,1,0,50,2100,22986.53,3,12
1,6008,83,1,0,0,0,0,1,30,0,0,38660,2,14
1,5452,54,1,3000,0,0,58400,1,10,52,1664,172437.57,4,17
1,8705,30,1,6420,23,4,40000,1,6,50,2116,30180,2,12
1,5910,58,1,4320,0,0,70000,1,5,52,5824,68359,2,14
1,7885,51,1,7000,32,18,70000,1,6,50,1984,90170.47,2,12
1,8310,49,1,1010,0,26,95000,1,4,48,2410,88437,2,17
1,8022,34,1,2040,0,11,60000,1,5,52,4200,46036.98,2,12
1,5506,28,1,1460,0,7,92000,1,7,49,1992,66660,4,16
1,6839,29,1,205,0,0,0,1,10,51,2040,57451.74,2,14
1,5187,78,2,7720,14,53,2500,1,24,9,360,35296.57,2,12
1,5697,59,1,5620,13.75,41,18000,1,4,46,1876,19430,2,12
1,8293,55,1,9130,20,3,38000,1,3,33,1254,18804.94,2,13
1,6567,41,2,4600,13.04,15,19000,1,11,52,2080,38127.05,2,14
1,9197,30,2,3000,0,3,33000,1,6,51,2277,20838,2,16
1,6589,27,1,2540,11.4,0,12000,1,0,52,1709,10150,2,17
1,8600,59,1,6660,0,0,0,1,6,52,2080,118840,4,17
1,6347,46,1,3710,0,19,176000,1,15,44,1835,130448,4,12
1,7627,77,1,940,0,0,4500,1,24,15,584,43029,2,12
1,7487,51,1,1006,0,21,60000,1,5,52,2340,75286.84,2,12
1,8925,41,1,8640,23,2,80000,1,9,51,2530,81500,3,10
1,5436,84,1,0,0,0,0,1,32,0,0,27789.13,4,10
1,5207,61,1,9130,0,9,72000,1,9,50,3000,54820,3,11
1,5032,58,1,4800,0,0,0,1,6,26,780,41562,3,11
1,4690,57,1,3700,0,14,98000,1,5,42,1835,77001,4,12
1,6194,54,1,4020,8.3,1,8000,1,1,30,540,25525,2,11
1,5441,52,1,0,0,0,0,1,1,0,0,6782.84,4,10
1,9258,41,1,9130,14.75,9,28420,1,12,47,3384,42644,3,9
1,7658,39,1,7210,19.75,5,34000,1,1,51,2040,40800,2,11
1,5717,38,1,8210,25,11,52000,1,5,47,2115,74240,4,10
1,9320,30,1,6320,27,2,35000,1,11,52,2080,58980,4,11
1,4942,28,1,3930,12.35,5,22000,1,4,50,1860,18980,4,12
1,5702,27,1,4010,10.05,7,29000,1,1,49,2107,12510,2,10
1,6580,27,1,1430,0,0,75000,1,1,46,2282,48266.21,3,16
1,6169,60,1,8030,23,6,45000,1,8,51,2550,55014,4,14
1,5307,64,2,4760,13.32,11,20000,1,20,47,1849,63679,3,13
1,5126,70,1,0,0,0,0,1,26,0,0,37973.74,4,14
1,5299,55,1,4760,14,5,43000,1,21,49,2010,62780,4,13
1,7899,46,2,5700,10,1,9000,1,20,52,2210,35688,2,13
1,2242,82,2,0,0,0,0,1,25,0,0,11914.23,3,11
1,1594,54,2,4720,0,0,7613,1,29,29,1029,10515,3,12
1,1550,42,2,0,0,0,0,1,5,0,0,10584,3,10
1,2442,27,2,0,0,0,0,1,0,0,0,20800,3,8
1,1787,26,2,0,0,0,0,1,1,0,0,20500,3,10
1,1686,26,2,0,0,0,0,1,0,0,0,17080,3,12
1,5892,70,1,800,200,0,0,1,18,46,2070,44944,3,17
1,5160,48,2,3255,35,20,74000,1,0,50,1800,59580,3,17
1,6093,43,1,7330,0,18,68000,1,1,49,1960,73156,3,17
1,6716,23,1,4760,15.5,0,20000,1,3,51,2080,21579.21,4,12
1,5915,73,1,9130,0,0,9844,1,21,34,1020,48368,3,12
1,5852,48,1,4700,0,0,91774,1,2,50,2000,93430,3,13
1,7264,68,1,230,0,27,92000,1,12,52,2704,59610,3,17
1,5199,66,1,0,0,0,0,1,11,0,0,50986,3,17
1,6396,37,1,120,0,2,73000,1,3,47,2563,86240,3,17
1,7189,29,1,7700,0,5,54000,1,6,51,2141,50070,3,14
1,8679,26,1,6355,35,4,70000,1,2,50,2040,73720,3,15
1,4628,61,1,0,0,0,0,1,8,0,0,51796,3,16
1,9341,41,1,1360,0,18,95000,1,3,49,1944,48544,3,17
1,4790,30,1,2320,0,5,50000,1,2,51,3300,49572.04,3,16
1,2401,82,2,0,0,0,0,1,27,0,0,12276.91,4,14
1,1585,52,1,5510,37,19,105000,1,3,45,2694,73680,4,14
1,2082,26,1,9810,0,2,10000,1,3,52,1560,25360,4,13
1,3455,85,2,0,0,0,0,1,5,0,0,11701.6,1,12
1,3494,56,2,0,0,0,0,1,8,0,0,35436.88,1,13
1,70,65,2,3258,0,0,70000,1,26,52,1248,40030,3,17
1,84,32,2,4610,35,4,9792,1,2,49,1225,24250,4,17
1,137,66,2,0,0,0,0,1,4,0,0,47904.14,1,17
1,6517,86,1,0,0,0,0,1,34,0,0,55152,2,12
1,5579,62,1,0,0,0,0,1,10,0,0,29901,2,12
1,8057,55,2,3255,26,26,55000,1,2,45,2250,44920,2,14
1,4796,42,1,8640,35.1,7,115000,1,2,50,2050,59850,2,13
1,6529,42,1,7340,29.63,17,62000,1,7,51,2240,86166,2,12
1,7542,60,1,8740,22,42,65000,1,27,47,2574,51920,2,12
1,4877,83,1,0,0,0,0,1,99,0,0,22922.14,2,14
1,6438,29,1,9610,0,0,2000,1,10,52,2080,19080,2,12
1,7341,26,1,4210,0,0,9999998,1,8,52,2600,34080,1,12
1,7278,32,1,6200,0,4,136000,1,2,52,2600,70062,3,16
1,8476,39,1,9800,0,14,110000,1,18,52,3120,81777,3,17
1,9137,40,1,6200,0,0,70000,1,14,51,3060,42290,2,15
1,7117,44,1,4840,0,3,200000,1,27,50,1000,727011.59,3,10
1,7892,90,1,0,0,0,0,1,38,0,0,25057.98,3,12
1,5977,64,2,4600,0,22,22000,1,20,46,2070,23470,2,12
1,4868,55,2,640,29.67,23,53182,1,3,48,1769,33344,3,16
1,7739,39,1,4110,2.13,5,32000,1,2,52,2080,26900,3,12
1,7409,31,2,3258,0,8,60000,1,0,52,1896,40991,3,17
1,5699,67,1,540,0,0,0,1,15,51,2040,45436,3,12
